TrainingDataset,HumanGeneID,Symbol,Synonyms,Description,EnsemblGeneID
Tmito,116540,MRPL53,L53MT|Q96EL3,mitochondrial ribosomal protein L53,ENSG00000204822
Tmito,1629,DBT,BCATE2|BCKAD-E2|BCKADE2|E2|E2B|P11182,dihydrolipoamide branched chain transacylase E2,ENSG00000137992
Tmito,5166,PDK4,Q16654,"pyruvate dehydrogenase kinase, isozyme 4",ENSG00000004799
Tmito,4191,MDH2,M-MDH|MDH|MGC:3559|MOR1|P40926,"malate dehydrogenase 2, NAD (mitochondrial)",ENSG00000146701
Tmito,23107,MRPS27,MRP-S27|S27mt|Q92552,mitochondrial ribosomal protein S27,ENSG00000113048
Tmito,1431,CS,O75390,citrate synthase,ENSG00000062485
Tmito,80273,GRPEL1,HMGE|Q9HAV7,"GrpE-like 1, mitochondrial (E. coli)",ENSG00000109519
Tmito,1737,DLAT,DLTA|PDC-E2|PDCE2|P10515,dihydrolipoamide S-acetyltransferase,ENSG00000150768
Tmito,10128,LRPPRC,CLONE-23970|GP130|LRP130|LSFC|P42704,leucine-rich pentatricopeptide repeat containing,ENSG00000138095
Tmito,1743,DLST,DLTS|P36957,dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex),ENSG00000119689
Tmito,8050,PDHX,DLDBP|E3BP|OPDX|PDX1|proX|O00330,"pyruvate dehydrogenase complex, component X",ENSG00000110435
Tmito,85476,GFM1,COXPD1|EFG|EFG1|EFGM|EGF1|GFM|hEFG1|Q96RP9,"G elongation factor, mitochondrial 1",ENSG00000168827
Tmito,25874,MPC2,BRP44|O95563,mitochondrial pyruvate carrier 2,ENSG00000143158
Tmito,4719,NDUFS1,CI-75Kd|CI-75k|PRO1304|P28331,"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)",ENSG00000023228
Tmito,26589,MRPL46,C15orf4|LIECG2|P2ECSL|Q9H2W6,mitochondrial ribosomal protein L46,ENSG00000259494
Tmito,514,ATP5E,ATPE|MC5DN3|P56381,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit",ENSG00000124172
Tmito,5250,SLC25A3,PHC|PTP|Q00325,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3",ENSG00000075415
Tmito,51649,MRPS23,HSPC329|MRP-S23|Q9Y3D9,mitochondrial ribosomal protein S23,ENSG00000181610
Tmito,2271,FH,HLRCC|LRCC|MCL|MCUL1|P07954,fumarate hydratase,ENSG00000091483
Tmito,23203,PMPCA,Alpha-MPP|INPP5E|P-55|Q10713,peptidase (mitochondrial processing) alpha,ENSG00000165688
Tmito,506,ATP5B,ATPMB|ATPSB|HEL-S-271|P06576,"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide",ENSG00000110955
Tpossible_mito,135154,C6orf57,Q5VUM1,chromosome 6 open reading frame 57,ENSG00000154079
Tmito,29796,UQCR10,HSPC051|HSPC151|QCR9|UCCR7.2|UCRC|Q9UDW1,"ubiquinol-cytochrome c reductase, complex III subunit X",ENSG00000184076
Tmito,81689,ISCA1,HBLD2|ISA1|RP11-507D14.2|hIscA|Q9BUE6,iron-sulfur cluster assembly 1,ENSG00000135070
Tmito,8803,SUCLA2,A-BETA|MTDPS5|SCS-betaA|Q9P2R7,"succinate-CoA ligase, ADP-forming, beta subunit",ENSG00000136143
Tmito,51805,COQ3,DHHBMT|DHHBMTASE|UG0215E05|bA9819.1|Q9NZJ6,coenzyme Q3 methyltransferase,ENSG00000132423
Tmito,55699,IARS2,ILERS|Q9NSE4,"isoleucyl-tRNA synthetase 2, mitochondrial",ENSG00000067704
Tmito,64960,MRPS15,MPR-S15|RPMS15|S15mt|P82914,mitochondrial ribosomal protein S15,ENSG00000116898
Tmito,3419,IDH3A,P50213,isocitrate dehydrogenase 3 (NAD+) alpha,ENSG00000166411
Tmito,1353,COX11,COX11P|Q9Y6N1,cytochrome c oxidase assembly homolog 11 (yeast),ENSG00000166260
Tmito,2110,ETFDH,ETFQO|MADD|Q16134,electron-transferring-flavoprotein dehydrogenase,ENSG00000171503
Tmito,26519,TIMM10,TIM10|TIM10A|P62072,translocase of inner mitochondrial membrane 10 homolog (yeast),ENSG00000134809
Tmito,64981,MRPL34,L34mt|Q9BQ48,mitochondrial ribosomal protein L34,ENSG00000130312
Tmito,51069,MRPL2,MRP-L14|RPML14|Q5T653,mitochondrial ribosomal protein L2,ENSG00000112651
Tmito,593,BCKDHA,BCKDE1A|MSU|MSUD1|OVD1A|P12694,"branched chain keto acid dehydrogenase E1, alpha polypeptide",ENSG00000248098
Tmito,7388,UQCRH,QCR6|UQCR8|P07919,ubiquinol-cytochrome c reductase hinge protein,ENSG00000173660
Tmito,192286,HIGD2A,RCF1b|Q9BW72,"HIG1 hypoxia inducible domain family, member 2A",ENSG00000146066
Tmito,539,ATP5O,ATPO|OSCP|P48047,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",ENSG00000241837
Tmito,1892,ECHS1,SCEH|P30084,"enoyl CoA hydratase, short chain, 1, mitochondrial",ENSG00000127884
Tmito,25875,LETMD1,1110019O13Rik|HCCR-1|HCCR-2|HCCR1|HCRR-2|Q6P1Q0,LETM1 domain containing 1,ENSG00000050426
Tmito,1337,COX6A1,COX6A|COX6AL|P12074,cytochrome c oxidase subunit VIa polypeptide 1,ENSG00000111775
Tmito,1355,COX15,CEMCOX2|Q7KZN9,cytochrome c oxidase assembly homolog 15 (yeast),ENSG00000014919
Tmito,10939,AFG3L2,SCA28|SPAX5|Q9Y4W6,AFG3-like AAA ATPase 2,ENSG00000141385
Tmito,3030,HADHA,ECHA|GBP|HADH|LCEH|LCHAD|MTPA|TP-ALPHA|P40939,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit",ENSG00000084754
Tmito,2108,ETFA,EMA|GA2|MADD|P13804,"electron-transfer-flavoprotein, alpha polypeptide",ENSG00000140374
Tmito,374291,NDUFS7,CI-20|CI-20KD|MY017|PSST|O75251,"NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)",ENSG00000115286
Tmito,1376,CPT2,CPT1|CPTASE|IIAE4|P23786,carnitine palmitoyltransferase 2,ENSG00000157184
Tmito,594,BCKDHB,E1B|dJ279A18.1|P21953,"branched chain keto acid dehydrogenase E1, beta polypeptide",ENSG00000083123
Tmito,3420,IDH3B,H-IDHB|RP46|O43837,isocitrate dehydrogenase 3 (NAD+) beta,ENSG00000101365
Tmito,23395,LARS2,LEURS|PRLTS4|Q15031,"leucyl-tRNA synthetase 2, mitochondrial",ENSG00000011376
Tmito,35,ACADS,ACAD3|SCAD|P16219,"acyl-CoA dehydrogenase, C-2 to C-3 short chain",ENSG00000122971
Tmito,3954,LETM1,O95202,leucine zipper-EF-hand containing transmembrane protein 1,ENSG00000168924
Tmito,521,ATP5I,ATP5K|P56385,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E",ENSG00000169020
Tmito,4976,OPA1,MGM1|NPG|NTG|largeG|O60313,optic atrophy 1 (autosomal dominant),ENSG00000198836
Tmito,549,AUH,Q13825,AU RNA binding protein/enoyl-CoA hydratase,ENSG00000148090
Tpossible_mito,8802,SUCLG1,GALPHA|MTDPS9|SUCLA1|P53597,"succinate-CoA ligase, alpha subunit",ENSG00000163541
Tmito,4729,NDUFV2,CI-24k|P19404,"NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa",ENSG00000178127
Tmito,51004,COQ6,CGI10|COQ10D6|Q9Y2Z9,coenzyme Q6 monooxygenase,ENSG00000119723
Tmito,84545,MRPL43,bMRP36a|Q8N983,mitochondrial ribosomal protein L43,ENSG00000055950
Tmito,83451,ABHD11,WBSCR21|Q8NFV4,abhydrolase domain containing 11,ENSG00000106077
Tmito,522,ATP5J,ATP5|ATP5A|ATPM|CF6|F6|P18859,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6",ENSG00000154723
Tmito,4714,NDUFB8,ASHI|CI-ASHI|O95169,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa",ENSG00000166136
Tmito,9361,LONP1,LON|LONP|LonHS|PIM1|PRSS15|hLON|P36776,"lon peptidase 1, mitochondrial",ENSG00000196365
Tmito,1738,DLD,DLDD|DLDH|E3|GCSL|LAD|PHE3|P09622,dihydrolipoamide dehydrogenase,ENSG00000091140
Tmito,9131,AIFM1,AIF|CMT2D|CMTX4|COWCK|COXPD6|NADMR|NAMSD|PDCD8|O95831,"apoptosis-inducing factor, mitochondrion-associated, 1",ENSG00000156709
Tpossible_mito,79746,ECHDC3,Q96DC8,enoyl CoA hydratase domain containing 3,ENSG00000134463
Tmito,139322,APOOL,CXorf33|FAM121A|UNQ8193|Q6UXV4,apolipoprotein O-like,ENSG00000155008
Tmito,124995,MRPL10,L10MT|MRP-L10|MRP-L8|MRPL8|RPML8|Q7Z7H8,mitochondrial ribosomal protein L10,ENSG00000159111
Tmito,92399,MRRF,MRFF|MTRRF|RRF|Q96E11,mitochondrial ribosome recycling factor,ENSG00000148187
Tmito,4728,NDUFS8,CI-23k|CI23KD|TYKY|O00217,"NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)",ENSG00000110717
Tmito,34,ACADM,ACAD1|MCAD|MCADH|P11310,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain",ENSG00000117054
Tmito,10989,IMMT,HMP|MINOS2|P87|P87/89|P89|PIG52|Q16891,"inner membrane protein, mitochondrial",ENSG00000132305
Tmito,26520,TIMM9,TIM9|TIM9A|Q9Y5J7,translocase of inner mitochondrial membrane 9 homolog (yeast),ENSG00000100575
Tmito,291,SLC25A4,1|AAC1|ANT|ANT 1|ANT1|MTDPS12|PEO2|PEO3|T1|P12235,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4",ENSG00000151729
Tmito,25813,SAMM50,OMP85|SAM50|TOB55|TRG-3|YNL026W|Q9Y512,SAMM50 sorting and assembly machinery component,ENSG00000100347
Tmito,4720,NDUFS2,CI-49|O75306,"NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)",ENSG00000158864
Tmito,4723,NDUFV1,CI-51K|CI51KD|UQOR1|P49821,"NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa",ENSG00000167792
Tmito,50,ACO2,ACONM|ICRD|Q99798,"aconitase 2, mitochondrial",ENSG00000100412
Tmito,6832,SUPV3L1,SUV3|Q8IYB8,"suppressor of var1, 3-like 1 (S. cerevisiae)",ENSG00000156502
Tmito,2235,FECH,EPP|FCE|P22830,ferrochelatase,ENSG00000066926
Tmito,4528,MTIF2,P46199,mitochondrial translational initiation factor 2,ENSG00000085760
Tmito,5245,PHB,HEL-215|HEL-S-54e|PHB1|P35232,prohibitin,ENSG00000167085
Tmito,26275,HIBCH,HIBYLCOAH|Q6NVY1,3-hydroxyisobutyryl-CoA hydrolase,ENSG00000198130
Tmito,51116,MRPS2,MRP-S2|S2mt|Q9Y399,mitochondrial ribosomal protein S2,ENSG00000122140
Tmito,3313,HSPA9,CSA|GRP-75|GRP75|HEL-S-124m|HSPA9B|MOT|MOT2|MTHSP75|PBP74|P38646,heat shock 70kDa protein 9 (mortalin),ENSG00000113013
Tmito,6834,SURF1,Q15526,surfeit 1,ENSG00000148290
Tmito,10935,PRDX3,AOP-1|AOP1|HBC189|MER5|PRO1748|SP-22|prx-III|P30048,peroxiredoxin 3,ENSG00000165672
Tmito,27069,GHITM,DERP2|HSPC282|MICS1|PTD010|TMBIM5|Q9H3K2,growth hormone inducible transmembrane protein,ENSG00000165678
Tmito,60558,GUF1,EF-4|Q8N442,GUF1 GTPase homolog (S. cerevisiae),ENSG00000151806
Tmito,26517,TIMM13,TIM13|TIM13B|TIMM13A|TIMM13B|ppv1|Q9Y5L4,translocase of inner mitochondrial membrane 13 homolog (yeast),ENSG00000099800
Tmito,57128,LYRM4,C6orf149|CGI-203|COXPD19|ISD11|RP11-428J1.4|Q9HD34,LYR motif containing 4,ENSG00000214113
Tmito,54948,MRPL16,L16mt|MRP-L16|Q9NX20,mitochondrial ribosomal protein L16,ENSG00000166902
Tmito,64976,MRPL40,MRP-L22|MRPL22|NLVCF|URIM|Q9NQ50,mitochondrial ribosomal protein L40,ENSG00000185608
Tmito,3421,IDH3G,H-IDHG|P51553,isocitrate dehydrogenase 3 (NAD+) gamma,ENSG00000067829
Tmito,6391,SDHC,CYB560|CYBL|PGL3|QPS1|SDH3|Q99643,"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa",ENSG00000143252
Tmito,4711,NDUFB5,CISGDH|SGDH|O43674,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa",ENSG00000136521
Tmito,54949,SDHAF2,C11orf79|PGL2|SDH5|Q9NX18,succinate dehydrogenase complex assembly factor 2,ENSG00000167985
Tpossible_mito,93058,COQ10A,Q96MF6,coenzyme Q10 homolog A (S. cerevisiae),ENSG00000135469
Tmito,8209,C21orf33,ES1|GT335|HES1|KNPH|KNPI|P30042,chromosome 21 open reading frame 33,ENSG00000160221
Tmito,25828,TXN2,MT-TRX|MTRX|TRX2|Q99757,thioredoxin 2,ENSG00000100348
Tmito,55168,MRPS18A,HumanS18b|MRP-S18-3|MRPS18-3|S18bmt|Q9NVS2,mitochondrial ribosomal protein S18A,ENSG00000096080
Tmito,1345,COX6C,P09669,cytochrome c oxidase subunit VIc,ENSG00000164919
Tmito,4715,NDUFB9,B22|CI-B22|LYRM3|UQOR22|Q9Y6M9,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa",ENSG00000147684
Tmito,23788,MTCH2,MIMP|SLC25A50|Q9Y6C9,mitochondrial carrier 2,ENSG00000109919
Tmito,4700,NDUFA6,B14|CI-B14|LYRM6|NADHB14|P56556,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa",ENSG00000184983
Tmito,788,SLC25A20,CAC|CACT|O43772,"solute carrier family 25 (carnitine/acylcarnitine translocase), member 20",ENSG00000178537
Tmito,65008,MRPL1,BM022|L1MT|MRP-L1|Q9BYD6,mitochondrial ribosomal protein L1,ENSG00000169288
Tmito,10469,TIMM44,TIM44|O43615,translocase of inner mitochondrial membrane 44 homolog (yeast),ENSG00000104980
Tmito,10063,COX17,Q14061,COX17 cytochrome c oxidase copper chaperone,ENSG00000138495
Tmito,440574,MINOS1,C1orf151|MIO10|Q5TGZ0,mitochondrial inner membrane organizing system 1,ENSG00000173436
Tmito,6648,SOD2,IPOB|MNSOD|MVCD6|P04179,"superoxide dismutase 2, mitochondrial",ENSG00000112096
Tmito,1340,COX6B1,COX6B|COXG|COXVIb1|P14854,cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous),ENSG00000126267
Tmito,7416,VDAC1,PORIN|VDAC-1|P21796,voltage-dependent anion channel 1,ENSG00000073905
Tmito,8192,CLPP,PRLTS3|Q16740,caseinolytic mitochondrial matrix peptidase proteolytic subunit,ENSG00000125656
Tmito,3033,HADH,HAD|HADH1|HADHSC|HCDH|HHF4|MSCHAD|SCHAD|Q16836,hydroxyacyl-CoA dehydrogenase,ENSG00000138796
Tmito,33,ACADL,ACAD4|LCAD|P28330,"acyl-CoA dehydrogenase, long chain",ENSG00000115361
Tmito,38,ACAT1,ACAT|MAT|T2|THIL|P24752,acetyl-CoA acetyltransferase 1,ENSG00000075239
Tmito,115416,MALSU1,C7orf30|mtRsfA|Q96EH3,mitochondrial assembly of ribosomal large subunit 1,ENSG00000156928
Tmito,10845,CLPX,O76031,caseinolytic mitochondrial matrix peptidase chaperone subunit,ENSG00000166855
Tmito,4724,NDUFS4,AQDQ|CI-18|O43181,"NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)",ENSG00000164258
Tmito,51073,MRPL4,CGI-28|L4mt|Q9BYD3,mitochondrial ribosomal protein L4,ENSG00000105364
Tmito,708,C1QBP,GC1QBP|HABP1|SF2p32|gC1Q-R|gC1qR|p32|Q07021,"complement component 1, q subcomponent binding protein",ENSG00000108561
Tmito,10531,PITRM1,MP1|PreP|Q5JRX3,pitrilysin metallopeptidase 1,ENSG00000107959
Tmito,55245,UQCC1,BFZB|C20orf44|CBP3|UQCC|Q9NVA1,ubiquinol-cytochrome c reductase complex assembly factor 1,ENSG00000101019
Tmito,128308,MRPL55,AAVG5835|L55nt|MRP-L55|PRO19675|Q7Z7F7,mitochondrial ribosomal protein L55,ENSG00000162910
Tmito,79922,MRM1,Q6IN84,mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae),ENSG00000129282
Tmito,51102,MECR,CGI-63|FASN2B|NRBF1|Q9BV79,mitochondrial trans-2-enoyl-CoA reductase,ENSG00000116353
Tmito,65080,MRPL44,COXPD16|L44MT|MRP-L44|Q9H9J2,mitochondrial ribosomal protein L44,ENSG00000135900
Tmito,84263,HSDL2,C9orf99|SDR13C1|Q6YN16,hydroxysteroid dehydrogenase like 2,ENSG00000119471
Tmito,63931,MRPS14,DJ262D12.2|HSMRPS14|MRP-S14|S14mt|O60783,mitochondrial ribosomal protein S14,ENSG00000120333
Tmito,11194,ABCB8,EST328128|M-ABC1|MABC1|Q9NUT2,"ATP-binding cassette, sub-family B (MDR/TAP), member 8",ENSG00000197150
Tmito,91647,ATPAF2,ATP12|ATP12p|MC5DN1|Q8N5M1,ATP synthase mitochondrial F1 complex assembly factor 2,ENSG00000171953
Tmito,4704,NDUFA9,CC6|CI-39k|CI39k|NDUFS2L|SDR22E1|Q16795,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa",ENSG00000139180
Tmito,388753,COA6,C1orf31|Q5JTJ3,cytochrome c oxidase assembly factor 6 homolog (S. cerevisiae),ENSG00000168275
Tmito,5442,POLRMT,APOLMT|MTRNAP|MTRPOL|h-mtRPOL|O00411,polymerase (RNA) mitochondrial (DNA directed),ENSG00000099821
Tmito,23479,ISCU,2310020H20Rik|HML|ISU2|NIFU|NIFUN|hnifU|Q9H1K1,iron-sulfur cluster assembly enzyme,ENSG00000136003
Tmito,84816,RTN4IP1,NIMP|Q8WWV3,reticulon 4 interacting protein 1,ENSG00000130347
Tmito,55753,OGDHL,Q9ULD0,oxoglutarate dehydrogenase-like,ENSG00000197444
Tmito,509,ATP5C1,ATP5C|ATP5CL1|P36542,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1",ENSG00000165629
Tmito,10295,BCKDK,BCKDKD|BDK|O14874,branched chain ketoacid dehydrogenase kinase,ENSG00000103507
Tmito,84340,GFM2,EF-G2mt|EFG2|MRRF2|MST027|RRF2|RRF2mt|hEFG2|mEF-G 2|Q969S9,"G elongation factor, mitochondrial 2",ENSG00000164347
Tmito,29078,NDUFAF4,C6orf66|HRPAP20|My013|bA22L21.1|Q9P032,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 4",ENSG00000123545
Tmito,399512,SLC25A35,Q3KQZ1,"solute carrier family 25, member 35",ENSG00000125434
Tmito,8402,SLC25A11,OGC|SLC20A4|Q02978,"solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11",ENSG00000108528
Tmito,26521,TIMM8B,DDP2|TIM8B|Q9Y5J9,translocase of inner mitochondrial membrane 8 homolog B (yeast),ENSG00000150779
Tmito,27349,MCAT,FASN2C|MCT|MT|NET62|fabD|Q8IVS2,malonyl CoA:ACP acyltransferase (mitochondrial),ENSG00000100294
Tmito,200205,IBA57,C1orf69|MMDS3|Q5T440,"IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae)",ENSG00000181873
Tmito,11331,PHB2,BAP|BCAP37|Bap37|PNAS-141|REA|p22|Q99623,prohibitin 2,ENSG00000215021
Tmito,7818,DAP3,DAP-3|MRP-S29|MRPS29|bMRP-10|P51398,death associated protein 3,ENSG00000132676
Tmito,56942,CMC2,2310061C15Rik|C16orf61|Q9NRP2,C-x(9)-C motif containing 2,ENSG00000103121
Tmito,644096,SDHAF1,LYRM8|A6NFY7,succinate dehydrogenase complex assembly factor 1,ENSG00000205138
Tmito,51373,MRPS17,HSPC011|MRP-S17|RPMS17|S17mt|Q9Y2R5,mitochondrial ribosomal protein S17,ENSG00000239789
Tpossible_mito,137872,ADHFE1,ADH8|HOT|Q8IWW8,"alcohol dehydrogenase, iron containing, 1",ENSG00000147576
Tmito,9054,NFS1,IscS|NIFS|Q9Y697,NFS1 cysteine desulfurase,ENSG00000244005
Tmito,79133,NDUFAF5,C20orf7|bA526K24.2|dJ842G6.1|Q5TEU4,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 5",ENSG00000101247
Tmito,63875,MRPL17,L17mt|LIP2|MRP-L17|MRP-L26|RPL17L|RPML26|Q9NRX2,mitochondrial ribosomal protein L17,ENSG00000158042
Tmito,51204,TACO1,CCDC44|Q9BSH4,translational activator of mitochondrially encoded cytochrome c oxidase I,ENSG00000136463
Tmito,55669,MFN1,hfzo1|hfzo2|Q8IWA4,mitofusin 1,ENSG00000171109
Tmito,160760,PPTC7,TA-PP2C|TAPP2C|Q8NI37,PTC7 protein phosphatase homolog (S. cerevisiae),ENSG00000196850
Tmito,65003,MRPL11,L11MT|MRP-L11|Q9Y3B7,mitochondrial ribosomal protein L11,ENSG00000174547
Tmito,1327,COX4I1,COX4|COX4-1|COXIV|P13073,cytochrome c oxidase subunit IV isoform 1,ENSG00000131143
Tmito,4726,NDUFS6,CI-13kA|CI-13kD-A|CI13KDA|O75380,"NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)",ENSG00000145494
Tmito,28998,MRPL13,L13|L13A|L13mt|RPL13|RPML13|Q9BYD1,mitochondrial ribosomal protein L13,ENSG00000172172
Tmito,5019,OXCT1,OXCT|SCOT|P55809,3-oxoacid CoA transferase 1,ENSG00000083720
Tmito,1329,COX5B,COXVB|P10606,cytochrome c oxidase subunit Vb,ENSG00000135940
Tmito,5164,PDK2,PDHK2|PDKII|Q15119,"pyruvate dehydrogenase kinase, isozyme 2",ENSG00000005882
Tmito,211,ALAS1,ALAS|ALAS3|ALASH|MIG4|P13196,"aminolevulinate, delta-, synthase 1",ENSG00000023330
Tmito,9553,MRPL33,C2orf1|L33mt|MRP-L33|RPL33L|O75394,mitochondrial ribosomal protein L33,ENSG00000243147
Tmito,25821,MTO1,COXPD10|Q9Y2Z2,mitochondrial tRNA translation optimization 1,ENSG00000135297
Tmito,11019,LIAS,LAS|LIP1|LS|PDHLD|O43766,lipoic acid synthetase,ENSG00000121897
Tmito,4698,NDUFA5,B13|CI-13KD-B|CI-13kB|NUFM|UQOR13|Q16718,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5",ENSG00000128609
Tmito,4712,NDUFB6,B17|CI|O95139,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa",ENSG00000165264
Tmito,10651,MTX2,O75431,metaxin 2,ENSG00000128654
Tmito,8801,SUCLG2,GBETA|Q96I99,"succinate-CoA ligase, GDP-forming, beta subunit",ENSG00000172340
Tmito,2230,FDX1,ADX|FDX|LOH11CR1D|P10109,ferredoxin 1,ENSG00000137714
Tmito,6576,SLC25A1,CTP|D2L2AD|SEA|SLC20A3|P53007,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1",ENSG00000100075
Tmito,28957,MRPS28,MRP-S28|MRP-S35|MRPS35|Q9Y2Q9,mitochondrial ribosomal protein S28,ENSG00000147586
Tmito,92609,TIMM50,TIM50|TIM50L|Q3ZCQ8,translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae),ENSG00000105197
Tmito,7417,VDAC2,POR|P45880,voltage-dependent anion channel 2,ENSG00000165637
Tmito,284439,SLC25A42,Q86VD7,"solute carrier family 25, member 42",ENSG00000181035
Tmito,54543,TOMM7,TOM7|Q9P0U1,translocase of outer mitochondrial membrane 7 homolog (yeast),ENSG00000196683
Tmito,1891,ECH1,HPXEL|Q13011,"enoyl CoA hydratase 1, peroxisomal",ENSG00000104823
Tmito,5188,PET112,PET112L|O75879,PET112 homolog (yeast),ENSG00000059691
Tmito,617,BCS1L,BCS|BCS1|BJS|FLNMS|GRACILE|Hs.6719|MC3DN1|PTD|h-BCS|Q9Y276,BC1 (ubiquinol-cytochrome c reductase) synthesis-like,ENSG00000074582
Tmito,26284,ERAL1,ERA|ERAL1A|H-ERA|HERA-A|HERA-B|O75616,Era-like 12S mitochondrial rRNA chaperone 1,ENSG00000132591
